Season,Club,Expenditure_EUR_m,Income_EUR_m,Net_Balance_EUR_m,Final_Rank
2021-22,Arsenal FC,167.40,31.40,-136.00,5
2021-22,Aston Villa,129.80,127.00,-2.80,14
2021-22,Brentford FC,38.20,1.00,-37.20,13
2021-22,Brighton & Hove Albion,75.58,78.80,3.22,9
2021-22,Burnley FC,49.40,40.50,-8.90,18
2021-22,Chelsea FC,118.00,157.59,39.59,3
2021-22,Crystal Palace,85.62,0.00,-85.62,12
2021-22,Everton FC,39.50,46.00,6.50,16
2021-22,Leeds United,59.30,0.00,-59.30,17
2021-22,Leicester City,67.60,4.00,-63.60,8
2021-22,Liverpool FC,89.00,31.65,-57.35,2
2021-22,Manchester City,138.90,93.80,-45.10,1
2021-22,Manchester United,142.00,31.10,-110.90,6
2021-22,Newcastle United,130.50,0.00,-130.50,11
2021-22,Norwich City,63.55,38.40,-25.15,20
2021-22,Southampton FC,63.40,60.35,-3.05,15
2021-22,Tottenham Hotspur,95.90,34.62,-61.28,4
2021-22,Watford FC,43.50,12.85,-30.65,19
2021-22,West Ham United,74.50,4.24,-70.26,7
2021-22,Wolverhampton Wanderers,37.60,31.80,-5.80,10
