Season,Club,Expenditure_EUR_m,Income_EUR_m,Net_Balance_EUR_m,Final_Rank
2022-23,Arsenal FC,186.40,23.80,-162.60,2
2022-23,Aston Villa,113.00,54.00,-59.00,7
2022-23,AFC Bournemouth,91.20,0.00,-91.20,15
2022-23,Brentford FC,49.25,3.60,-45.65,9
2022-23,Brighton & Hove Albion,55.70,138.40,82.70,6
2022-23,Chelsea FC,630.25,67.86,-562.39,12
2022-23,Crystal Palace,46.60,5.46,-41.15,11
2022-23,Everton FC,83.07,103.60,20.53,17
2022-23,Fulham FC,76.10,25.40,-50.70,10
2022-23,Leeds United,163.89,114.50,-49.39,19
2022-23,Leicester City,49.00,81.40,32.40,18
2022-23,Liverpool FC,145.80,80.10,-65.70,5
2022-23,Manchester City,155.00,162.17,7.17,1
2022-23,Manchester United,243.15,23.65,-219.50,3
2022-23,Newcastle United,185.00,14.06,-170.94,4
2022-23,Nottingham Forest,198.35,5.00,-193.35,16
2022-23,Southampton FC,154.21,5.50,-148.71,20
2022-23,Tottenham Hotspur,179.90,38.75,-141.15,8
2022-23,West Ham United,196.60,21.55,-175.05,14
2022-23,Wolverhampton Wanderers,179.51,64.87,-114.64,13
