Season,Club,Expenditure_EUR_m,Income_EUR_m,Net_Balance_EUR_m,Final_Rank
2020-21,Arsenal FC,86.00,19.15,-66.85,8
2020-21,Aston Villa,101.35,2.77,-98.58,11
2020-21,Brighton & Hove Albion,50.10,20.60,-29.50,16
2020-21,Burnley FC,1.10,2.30,1.20,17
2020-21,Chelsea FC,267.20,57.15,-210.05,4
2020-21,Crystal Palace,22.40,20.00,-2.40,14
2020-21,Everton FC,74.37,4.43,-69.95,10
2020-21,Fulham FC,37.25,0.00,-37.25,18
2020-21,Leeds United,127.80,0.00,-127.80,9
2020-21,Leicester City,59.40,53.77,-5.63,5
2020-21,Liverpool FC,84.80,17.20,-67.60,3
2020-21,Manchester City,173.40,64.00,-109.40,1
2020-21,Manchester United,83.95,19.50,-64.45,2
2020-21,Newcastle United,38.75,0.78,-37.97,12
2020-21,Sheffield United,62.70,0.00,-62.70,20
2020-21,Southampton FC,37.30,26.30,-11.00,15
2020-21,Tottenham Hotspur,110.50,13.30,-97.20,7
2020-21,West Bromwich Albion,42.14,8.10,-34.04,19
2020-21,West Ham United,54.70,45.41,-9.29,6
2020-21,Wolverhampton Wanderers,87.59,79.20,-8.39,13
