Season,Club,Expenditure_EUR_m,Income_EUR_m,Net_Balance_EUR_m,Final_Rank
2024-25,Arsenal FC,108.90,83.79,-25.11,2
2024-25,Aston Villa,214.20,257.17,42.97,6
2024-25,AFC Bournemouth,134.90,66.09,-68.81,9
2024-25,Brentford FC,98.40,74.50,-23.90,10
2024-25,Brighton & Hove Albion,281.45,49.99,-231.46,8
2024-25,Chelsea FC,281.90,239.00,-42.90,4
2024-25,Crystal Palace,91.90,100.70,8.80,12
2024-25,Everton FC,50.20,84.15,33.95,13
2024-25,Fulham FC,91.55,68.80,-22.75,11
2024-25,Ipswich Town,152.59,2.36,-150.23,19
2024-25,Leicester City,91.05,47.25,-43.80,18
2024-25,Liverpool FC,42.00,47.00,5.00,1
2024-25,Manchester City,243.00,141.70,-101.30,3
2024-25,Manchester United,246.30,117.20,-129.10,15
2024-25,Newcastle United,68.20,89.55,21.35,5
2024-25,Nottingham Forest,105.50,86.70,-18.80,7
2024-25,Southampton FC,123.05,41.59,-81.46,20
2024-25,Tottenham Hotspur,185.35,55.30,-130.05,17
2024-25,West Ham United,144.40,46.15,-98.25,14
2024-25,Wolverhampton Wanderers,124.40,116.20,-8.20,16
