Season,Club,Expenditure_EUR_m,Income_EUR_m,Net_Balance_EUR_m,Final_Rank
2022-23,Real Madrid,80.00,99.15,19.15,2
2022-23,FC Barcelona,159.00,39.50,-119.50,1
2022-23,Bayern Munich,146.50,121.90,-24.60,1
2022-23,Borussia Dortmund,91.10,79.00,-12.10,2
2022-23,Inter Milan,57.70,75.00,17.30,3
2022-23,Juventus,122.75,111.59,-11.16,7
2022-23,Paris Saint-Germain,147.00,61.80,-85.20,1
2022-23,Sporting CP,60.12,139.10,78.98,4
2022-23,SL Benfica,114.05,286.62,172.57,1
2022-23,Ajax,113.17,216.62,103.45,3
2022-23,PSV Eindhoven,10.50,96.15,85.65,2
2022-23,Galatasaray,28.80,10.40,-18.40,1
