Season,Club,Expenditure_EUR_m,Income_EUR_m,Net_Balance_EUR_m,Final_Rank
2023-24,Real Madrid,157.50,7.00,-150.50,1
2023-24,FC Barcelona,33.40,131.70,98.30,2
2023-24,Bayern Munich,179.50,175.42,-4.08,3
2023-24,Borussia Dortmund,62.00,145.10,83.10,5
2023-24,Inter Milan,72.50,127.03,54.53,1
2023-24,Juventus,95.45,66.73,-28.72,3
2023-24,Paris Saint-Germain,454.50,210.65,-243.85,1
2023-24,Sporting CP,75.45,125.13,49.68,1
2023-24,SL Benfica,69.50,127.30,57.80,2
2023-24,Ajax,109.30,157.15,47.85,5
2023-24,PSV Eindhoven,53.85,54.72,0.87,1
2023-24,Galatasaray,34.59,52.75,18.16,1
