Season,Club,Expenditure_EUR_m,Income_EUR_m,Net_Balance_EUR_m,Final_Rank
2020-21,Real Madrid,0.00,108.20,108.20,2
2020-21,FC Barcelona,111.94,154.40,42.46,3
2020-21,Bayern Munich,66.00,22.25,-43.75,1
2020-21,Borussia Dortmund,45.00,4.50,-40.50,3
2020-21,Inter Milan,114.70,15.50,-99.20,1
2020-21,Juventus,110.20,105.60,-4.60,4
2020-21,Paris Saint-Germain,62.00,10.00,-52.00,2
2020-21,Sporting CP,42.85,51.38,8.53,1
2020-21,SL Benfica,115.00,81.72,-33.28,3
2020-21,Ajax,63.20,109.50,46.30,1
2020-21,PSV Eindhoven,17.50,8.00,-9.50,2
2020-21,Galatasaray,11.90,3.80,-8.10,2
