Season,Club,Expenditure_EUR_m,Income_EUR_m,Net_Balance_EUR_m,Final_Rank
2021-22,Real Madrid,31.00,78.00,47.00,1
2021-22,FC Barcelona,69.50,95.36,25.86,2
2021-22,Bayern Munich,57.50,2.30,-55.20,1
2021-22,Borussia Dortmund,75.50,107.75,32.25,2
2021-22,Inter Milan,42.55,208.15,165.60,2
2021-22,Juventus,97.70,38.90,-58.80,4
2021-22,Paris Saint-Germain,91.50,16.00,-75.50,1
2021-22,Sporting CP,39.75,16.67,-23.08,2
2021-22,SL Benfica,25.50,50.50,25.00,3
2021-22,Ajax,18.50,42.90,24.40,1
2021-22,PSV Eindhoven,14.50,53.62,39.12,2
2021-22,Galatasaray,29.20,3.60,-25.60,13
