연월,행정동코드,연령대코드,성별코드,구분명,인구수
2024-01,4100000000,40,1,내국인,1149037
2024-01,4100000000,50,1,내국인,1181043
2024-01,4100000000,60,1,내국인,917489
2024-01,4100000000,70,1,내국인,569867
2024-01,4100000000,0,2,내국인,480420
2024-01,4100000000,10,2,내국인,644689
2024-01,4100000000,20,2,내국인,794799
2024-01,4100000000,30,2,내국인,898030
2024-01,4100000000,40,2,내국인,1105060
2024-01,4100000000,50,2,내국인,1161493
2024-01,4100000000,60,2,내국인,920940
2024-01,4100000000,70,2,내국인,771952
2024-01,4300000000,0,1,내국인,52623
2024-01,4300000000,10,1,내국인,74516
2024-01,4300000000,20,1,내국인,99956
2024-01,4300000000,30,1,내국인,102579
2024-01,4300000000,40,1,내국인,119397
2024-01,4300000000,50,1,내국인,140396
2024-01,4300000000,60,1,내국인,130618
2024-01,4300000000,70,1,내국인,89745
2024-01,4300000000,0,2,내국인,50069
2024-01,4300000000,10,2,내국인,69712
2024-01,4300000000,20,2,내국인,80467
2024-01,4300000000,30,2,내국인,84746
2024-01,4300000000,40,2,내국인,110925
2024-01,4300000000,50,2,내국인,132578
2024-01,4300000000,60,2,내국인,127637
2024-01,4300000000,70,2,내국인,126191
2024-01,4400000000,0,1,내국인,73349
2024-01,4400000000,10,1,내국인,104471
2024-01,4400000000,20,1,내국인,125171
2024-01,4400000000,30,1,내국인,136176
2024-01,4400000000,40,1,내국인,172329
2024-01,4400000000,50,1,내국인,186521
2024-01,4400000000,60,1,내국인,165693
2024-01,4400000000,70,1,내국인,128349
2024-01,4400000000,0,2,내국인,69616
2024-01,4400000000,10,2,내국인,97577
2024-01,4400000000,20,2,내국인,99798
2024-01,4400000000,30,2,내국인,114523
2024-01,4400000000,40,2,내국인,151536
2024-01,4400000000,50,2,내국인,164448
2024-01,4400000000,60,2,내국인,160328
2024-01,4400000000,70,2,내국인,180624
2024-01,4600000000,0,1,내국인,54601
2024-01,4600000000,10,1,내국인,81542
2024-01,4600000000,20,1,내국인,99250
2024-01,4600000000,30,1,내국인,89304
2024-01,4600000000,40,1,내국인,127471
2024-01,4600000000,50,1,내국인,167458
2024-01,4600000000,60,1,내국인,157245
2024-01,4600000000,70,1,내국인,131834
2024-01,4600000000,0,2,내국인,52378
2024-01,4600000000,10,2,내국인,77016
2024-01,4600000000,20,2,내국인,78076
2024-01,4600000000,30,2,내국인,79800
2024-01,4600000000,40,2,내국인,112906
2024-01,4600000000,50,2,내국인,143227
2024-01,4600000000,60,2,내국인,148964
2024-01,4600000000,70,2,내국인,201600
2024-01,4700000000,0,1,내국인,77438
2024-01,4700000000,10,1,내국인,113754
2024-01,4700000000,20,1,내국인,141250
2024-01,4700000000,30,1,내국인,140326
2024-01,4700000000,40,1,내국인,185318
2024-01,4700000000,50,1,내국인,230694
2024-01,4700000000,60,1,내국인,226870
2024-01,4700000000,70,1,내국인,173349
2024-01,4700000000,0,2,내국인,73252
2024-01,4700000000,10,2,내국인,103554
2024-01,4700000000,20,2,내국인,105342
2024-01,4700000000,30,2,내국인,117924
2024-01,4700000000,40,2,내국인,170794
2024-01,4700000000,50,2,내국인,214346
2024-01,4700000000,60,2,내국인,223103
2024-01,4700000000,70,2,내국인,254056
2024-01,4800000000,99,0,외국인,91122
2024-01,4800000000,0,1,내국인,108211
2024-01,4800000000,10,1,내국인,163823
2024-01,4800000000,20,1,내국인,180643
2024-01,4800000000,30,1,내국인,184840
2024-01,4800000000,40,1,내국인,258835
2024-01,4800000000,50,1,내국인,298303
2024-01,4800000000,60,1,내국인,265488
2024-01,4800000000,70,1,내국인,175867
2024-01,4800000000,0,2,내국인,101995
2024-01,4800000000,10,2,내국인,151919
2024-01,4800000000,20,2,내국인,140785
2024-01,4800000000,30,2,내국인,164238
2024-01,4800000000,40,2,내국인,244876
2024-01,4800000000,50,2,내국인,285706
2024-01,4800000000,60,2,내국인,264884
2024-01,4800000000,70,2,내국인,258290
2024-01,4812000000,99,0,외국인,16628
2024-01,4812125000,0,1,내국인,350
2024-01,4812125000,10,1,내국인,863
2024-01,4812125000,20,1,내국인,1167
2024-01,4812125000,30,1,내국인,920
2024-01,4812125000,40,1,내국인,1253
2024-01,4812125000,50,1,내국인,2051
2024-01,4812125000,60,1,내국인,1857
2024-01,4812125000,70,1,내국인,1177
2024-01,4812125000,0,2,내국인,353
2024-01,4812125000,10,2,내국인,770
2024-01,4812125000,20,2,내국인,705
2024-01,4812125000,30,2,내국인,655
2024-01,4812125000,40,2,내국인,1227
2024-01,4812125000,50,2,내국인,1989
2024-01,4812125000,60,2,내국인,1771
2024-01,4812125000,70,2,내국인,1709
2024-01,4812131000,0,1,내국인,2757
2024-01,4812131000,10,1,내국인,2481
2024-01,4812131000,20,1,내국인,1581
2024-01,4812131000,30,1,내국인,3093
2024-01,4812131000,40,1,내국인,4371
2024-01,4812131000,50,1,내국인,2890
2024-01,4812131000,60,1,내국인,2979
2024-01,4812131000,70,1,내국인,1527
2024-01,4812131000,0,2,내국인,2578
2024-01,4812131000,10,2,내국인,2384
2024-01,4812131000,20,2,내국인,1306
2024-01,4812131000,30,2,내국인,3274
2024-01,4812131000,40,2,내국인,4018
2024-01,4812131000,50,2,내국인,3140
2024-01,4812131000,60,2,내국인,2834
2024-01,4812131000,70,2,내국인,1936
2024-01,4812132000,0,1,내국인,96
2024-01,4812132000,10,1,내국인,174
2024-01,4812132000,20,1,내국인,266
2024-01,4812132000,30,1,내국인,324
2024-01,4812132000,40,1,내국인,411
2024-01,4812132000,50,1,내국인,619
2024-01,4812132000,60,1,내국인,885
2024-01,4812132000,70,1,내국인,635
2024-01,4812132000,0,2,내국인,86
2024-01,4812132000,10,2,내국인,156
2024-01,4812132000,20,2,내국인,190
2024-01,4812132000,30,2,내국인,217
2024-01,4812132000,40,2,내국인,284
2024-01,4812132000,50,2,내국인,574
2024-01,4812132000,60,2,내국인,833
2024-01,4812132000,70,2,내국인,1020
2024-01,4812151000,0,1,내국인,1811
2024-01,4812151000,10,1,내국인,2378
2024-01,4812151000,20,1,내국인,3130
2024-01,4812151000,30,1,내국인,3345
2024-01,4812151000,40,1,내국인,3934
2024-01,4812151000,50,1,내국인,4502
2024-01,4812151000,60,1,내국인,3864
2024-01,4812151000,70,1,내국인,1903
2024-01,4812151000,0,2,내국인,1761
2024-01,4812151000,10,2,내국인,2265
2024-01,4812151000,20,2,내국인,2529
2024-01,4812151000,30,2,내국인,2950
2024-01,4812151000,40,2,내국인,3772
2024-01,4812151000,50,2,내국인,4964
2024-01,4812151000,60,2,내국인,3884
2024-01,4812151000,70,2,내국인,2389
2024-01,4812152000,0,1,내국인,864
2024-01,4812152000,10,1,내국인,1299
2024-01,4812152000,20,1,내국인,1905
2024-01,4812152000,30,1,내국인,1878
2024-01,4812152000,40,1,내국인,2024
2024-01,4812152000,50,1,내국인,2536
2024-01,4812152000,60,1,내국인,1760
2024-01,4812152000,70,1,내국인,713
2024-01,4812152000,0,2,내국인,849
2024-01,4812152000,10,2,내국인,1162
2024-01,4812152000,20,2,내국인,1550
2024-01,4812152000,30,2,내국인,1651
2024-01,4812152000,40,2,내국인,2021
2024-01,4812152000,50,2,내국인,2726
2024-01,4812152000,60,2,내국인,1685
2024-01,4812152000,70,2,내국인,910
2024-01,4812153000,0,1,내국인,940
2024-01,4812153000,10,1,내국인,1789
2024-01,4812153000,20,1,내국인,2813
2024-01,4812153000,30,1,내국인,2278
2024-01,4812153000,40,1,내국인,2722
2024-01,4812153000,50,1,내국인,4165
2024-01,4812153000,60,1,내국인,3573
2024-01,4812153000,70,1,내국인,1732
2024-01,4812153000,0,2,내국인,925
2024-01,4812153000,10,2,내국인,1571
2024-01,4812153000,20,2,내국인,2213
2024-01,4812153000,30,2,내국인,1922
2024-01,4812153000,40,2,내국인,2646
2024-01,4812153000,50,2,내국인,4467
2024-01,4812153000,60,2,내국인,3544
2024-01,4812153000,70,2,내국인,2143
2024-01,4812154000,0,1,내국인,512
2024-01,4812154000,10,1,내국인,1008
2024-01,4812154000,20,1,내국인,2859
2024-01,4812154000,30,1,내국인,2169
2024-01,4812154000,40,1,내국인,2025
2024-01,4812154000,50,1,내국인,2810
2024-01,4812154000,60,1,내국인,2922
2024-01,4812154000,70,1,내국인,1417
2024-01,4812154000,0,2,내국인,541
2024-01,4812154000,10,2,내국인,955
2024-01,4812154000,20,2,내국인,2012
2024-01,4812154000,30,2,내국인,1492
2024-01,4812154000,40,2,내국인,1716
2024-01,4812154000,50,2,내국인,2796
2024-01,4812154000,60,2,내국인,2797
2024-01,4812154000,70,2,내국인,1803
2024-01,4812351000,0,1,내국인,1334
2024-01,4812351000,10,1,내국인,2560
2024-01,4812351000,20,1,내국인,2609
2024-01,4812351000,30,1,내국인,2199
2024-01,4812351000,40,1,내국인,3076
2024-01,4812351000,50,1,내국인,3872
2024-01,4812351000,60,1,내국인,3035
2024-01,4812351000,70,1,내국인,1339
2024-01,4812351000,0,2,내국인,1286
2024-01,4812351000,10,2,내국인,2349
2024-01,4812351000,20,2,내국인,1968
2024-01,4812351000,30,2,내국인,2022
2024-01,4812351000,40,2,내국인,3474
2024-01,4812351000,50,2,내국인,4144
2024-01,4812351000,60,2,내국인,2964
2024-01,4812351000,70,2,내국인,1527
2024-01,4812351500,0,1,내국인,902
2024-01,4812351500,10,1,내국인,1315
2024-01,4812351500,20,1,내국인,1910
2024-01,4812351500,30,1,내국인,1997
2024-01,4812351500,40,1,내국인,2018
2024-01,4812351500,50,1,내국인,2417
2024-01,4812351500,60,1,내국인,2067
2024-01,4812351500,70,1,내국인,889
2024-01,4812351500,0,2,내국인,845
2024-01,4812351500,10,2,내국인,1150
2024-01,4812351500,20,2,내국인,1576
2024-01,4812351500,30,2,내국인,1699
2024-01,4812351500,40,2,내국인,2049
2024-01,4812351500,50,2,내국인,2837
2024-01,4812351500,60,2,내국인,2039
2024-01,4812351500,70,2,내국인,1137
2024-01,4812352000,0,1,내국인,1027
2024-01,4812352000,10,1,내국인,1204
2024-01,4812352000,20,1,내국인,3443
2024-01,4812352000,30,1,내국인,3604
2024-01,4812352000,40,1,내국인,2841
2024-01,4812352000,50,1,내국인,3256
2024-01,4812352000,60,1,내국인,2492
2024-01,4812352000,70,1,내국인,973
2024-01,4812352000,0,2,내국인,954
2024-01,4812352000,10,2,내국인,1099
2024-01,4812352000,20,2,내국인,2424
2024-01,4812352000,30,2,내국인,2604
2024-01,4812352000,40,2,내국인,2293
2024-01,4812352000,50,2,내국인,3177
2024-01,4812352000,60,2,내국인,2177
2024-01,4812352000,70,2,내국인,1056
2024-01,4812353000,0,1,내국인,834
2024-01,4812353000,10,1,내국인,1629
2024-01,4812353000,20,1,내국인,1913
2024-01,4812353000,30,1,내국인,1792
2024-01,4812353000,40,1,내국인,1913
2024-01,4812353000,50,1,내국인,2554
2024-01,4812353000,60,1,내국인,2166
2024-01,4812353000,70,1,내국인,633
2024-01,4812353000,0,2,내국인,786
2024-01,4812353000,10,2,내국인,1466
2024-01,4812353000,20,2,내국인,1451
2024-01,4812353000,30,2,내국인,1608
2024-01,4812353000,40,2,내국인,2261
2024-01,4812353000,50,2,내국인,3082
2024-01,4812353000,60,2,내국인,1929
2024-01,4812353000,70,2,내국인,822
2024-01,4812354000,0,1,내국인,1487
2024-01,4812354000,10,1,내국인,2279
2024-01,4812354000,20,1,내국인,3069
2024-01,4812354000,30,1,내국인,3671
2024-01,4812354000,40,1,내국인,3320
2024-01,4812354000,50,1,내국인,4083
2024-01,4812354000,60,1,내국인,3551
2024-01,4812354000,70,1,내국인,1159
2024-01,4812354000,0,2,내국인,1441
2024-01,4812354000,10,2,내국인,2138
2024-01,4812354000,20,2,내국인,2558
2024-01,4812354000,30,2,내국인,3235
2024-01,4812354000,40,2,내국인,3633
2024-01,4812354000,50,2,내국인,4969
