영화명,관객수,대표국적,월
한국이 싫어서,315,한국,12
제16회 스토리업 쇼츠: 칸영화제 특별편,312,한국,12
2046,311,홍콩,12
이상한 나라의 앨리스,311,영국,12
"안전제일, 놀이퀴즈 최강전",311,한국,12
SIFF2024-선택단편1,300,한국,12
블루 자이언트,300,일본,12
총을 든 스님,300,기타,12
수라,296,한국,12
해피엔드,295,일본,12
오늘부터 1일,287,한국,12
비숍스 와이프,286,,12
암화,279,홍콩,12
4월이 되면 그녀는,278,일본,12
영웅: 라이브 인 시네마,275,한국,12
햇빛 속의 모과나무,270,스페인,12
드라이브 마이 카,268,일본,12
너와 나의 5분,264,한국,12
마리우폴에서의 20일,259,미국,12
보이지 않는,253,한국,12
아가미,252,한국,12
아이돌 마스터 밀리언 라이브!,247,일본,12
하나와 앨리스,246,일본,12
더 퍼스트 슬램덩크,238,일본,12
최소한의 선의,230,한국,12
딜리버리,230,한국,12
"럭키, 아파트",230,한국,12
백현진쑈 문명의 끝,226,한국,12
SIFF2024-로컬시네마2,225,한국,12
채식주의자,218,한국,12
풍류일대,218,중국,12
킹덤4: 대장군의 귀환,217,일본,12
콜 미 바이 유어 네임,215,이탈리아,12
국제시장,214,한국,12
여름이 지나가면,213,한국,12
오프닝 나이트,212,미국,12
중원의 백일홍,208,한국,12
봄밤,206,한국,12
다른 것으로 알려질 뿐이지,202,한국,12
성 베드로 대성당과 로마의 교황청 대성당들,197,이탈리아,12
SIFF2024-페스티벌초이스 단편7,197,한국,12
날씨의 아이,196,일본,12
SIFF2024-단편경쟁4,194,한국,12
에스퍼의 빛,194,한국,12
부에노스 아이레스 제로 디그리,194,홍콩,12
신성한 나무의 씨앗,193,독일,12
SIFF2024-단편경쟁5,192,한국,12
극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 2,190,일본,12
바다 탐험대 옥토넛 어보브 앤 비욘드 : 바다가 위험해,190,영국,12
더 커버넌트,188,미국,12
너와 나,187,한국,12
타인의 삶,180,독일,12
베테랑2,180,한국,12
청춘(홈커밍),177,프랑스,12
SIFF2024-단편경쟁6,176,한국,12
신사는 금발을 좋아해,175,미국,12
SIFF2024-로컬시네마3,171,한국,12
다잉,170,독일,12
무간도3: 종극무간,170,홍콩,12
큐어,169,일본,12
뿌까의 짜장면파티,167,한국,12
오랜만이다,166,한국,12
우리는 천국에 갈 순 없지만 사랑은 할 수 있겠지,162,한국,12
영향 아래 있는 여자,162,미국,12
파수꾼,161,한국,12
청춘(하드 타임즈),161,프랑스,12
프리다. 삶이여 영원하라,160,이탈리아,12
판문점,159,한국,12
딸에 대하여,159,한국,12
SIFF2024-선택단편3,158,한국,12
되살아나는 목소리,155,한국,12
센트로 히스토리코,155,포르투갈,12
허밍,153,한국,12
새벽에 온 방문객,150,한국,12
SIFF2024-로컬시네마1,150,한국,12
나미비아의 사막,147,일본,12
SIFF2024-페스티벌초이스 단편1,147,한국,12
차이니즈 부키의 죽음,146,미국,12
황야의 독수리,145,한국,12
이스터 퍼레이드,145,미국,12
릴리 슈슈의 모든 것,143,일본,12
인디언 파이터,143,미국,12
메기,140,한국,12
길다,138,미국,12
유레카,138,일본,12
벌새,137,한국,12
SIFF2024-단편경쟁2,136,한국,12
두 번째 계절,135,프랑스,12
하우치,133,한국,12
우마무스메 프리티 더비 로드 투 더 탑,133,일본,12
SIFF2024-단편경쟁1,132,한국,12
스파이더맨: 노 웨이 홈 '펀버전',130,미국,12
메릴 스트립 프로젝트,130,한국,12
인서트,129,한국,12
그림자들,128,미국,12
마이펫의 컴백홈 어드벤처,126,미국,12
"나야, 문희",126,한국,12
잇츠 낫 미,126,프랑스,12
장손,124,한국,12
해피 아워,122,일본,12
가필드 더 무비,118,미국,12
카인의 도시,118,한국,12
빨간열매,118,한국,12
SIFF2024-단편경쟁7,116,한국,12
해저 2만리,115,미국,12
열 개의 우물,114,한국,12
원 안에 사람들,114,한국,12
미션,113,한국,12
베라크루스,112,미국,12
아버지의 마음,112,한국,12
마지막 함성,111,미국,12
몽고의 란,111,프랑스,12
SIFF2024-선택단편4,111,한국,12
쉘 위 댄스,110,일본,12
도쿄 소나타,110,일본,12
양양,109,한국,12
SIFF2024-선택단편2,108,한국,12
엘 시드,108,미국,12
이유없는 반항,108,미국,12
킹 오브 프리즘 -드라마틱 프리즘.1-,108,일본,12
비트메이커,107,한국,12
원더풀 라이프,106,일본,12
펄프 픽션,104,미국,12
뱅드림! 필름 라이브 세컨드 스테이지,104,일본,12
분노의 질주: 라이드 오어 다이,104,미국,12
3학년 2학기,103,한국,12
(환영합니다) 난초의 행성입니다,103,한국,12
얼굴들,103,미국,12
세자매,103,한국,12
블랙 나이트 퍼레이드,102,일본,12
SIFF2024-페스티벌초이스 단편4,102,한국,12
애인과 정부,102,미국,12
극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 1,102,일본,12
양지뜸,101,한국,12
행복의 나라,100,한국,12
나는 나를 해고하지 않는다,100,한국,12
1980,100,한국,12
허스토리,100,한국,12
SIFF2024-페스티벌초이스 단편3,99,한국,12
호비와 마법의 카네이션,99,일본,12
메모리,99,미국,12
일과 날,98,한국,12
그녀,98,미국,12
작은 아씨들,98,미국,12
우리들의 낙원,97,미국,12
수연의 선율,94,한국,12
SIFF2024-페스티벌초이스 단편2,94,한국,12
새드 베케이션,93,일본,12
챌린지스,93,스페인,12
SIFF2024-페스티벌초이스 단편8,93,한국,12
인생 세탁소,93,한국,12
별일아니다,92,한국,12
K-Number,91,한국,12
홍이,91,한국,12
조커: 폴리 아 되,91,미국,12
