RANK_CO,PBLPRFR_NM,GENRE_NM,PBLPRFR_BEGIN_DE,PBLPRFR_END_DE,AREA_NM,PBLPRFR_PLACE_NM,RDNMADR_NM,LC_LA,LC_LO
"1","임영웅 리사이틀, RE: CITAL","대중음악","20241227","20250104","서울특별시","고척스카이돔","서울특별시 구로구 경인로 430","37.4982126","126.8670887"
"2","오아시스 내한공연 [고양]","대중음악","20251021","20251021","경기도","고양종합운동장","경기도 고양시 일산서구 중앙로 1601 (대화동)","37.6763871","126.7420729"
"3","알라딘","뮤지컬","20241117","20250622","서울특별시","샤롯데씨어터","서울특별시 송파구 올림픽로 240 (잠실동)","37.5105162","127.1005630"
"4","NCT 127 4TH TOUR: NEO CITY : SEOUL - THE MOMENTUM","대중음악","20250118","20250119","서울특별시","고척스카이돔","서울특별시 구로구 경인로 430","37.4982126","126.8670887"
"5","DAY6 Special Concert: The Present","대중음악","20241220","20241221","서울특별시","고척스카이돔","서울특별시 구로구 경인로 430","37.4982126","126.8670887"
"6","SMTOWN LIVE","대중음악","20250111","20250112","서울특별시","고척스카이돔","서울특별시 구로구 경인로 430","37.4982126","126.8670887"
"7","지킬앤하이드","뮤지컬","20241129","20250518","서울특별시","블루스퀘어","서울특별시 용산구 이태원로 294 (한남동)","37.5408717","127.0024401"
"8","광화문 연가","뮤지컬","20241023","20250105","서울특별시","디큐브아트센터","서울특별시 구로구 경인로 662 (신도림동, 디큐브시티)","37.5084321","126.8887332"
"9","웃는 남자","뮤지컬","20250109","20250309","서울특별시","예술의전당","서울특별시 서초구 남부순환로 2406 (서초동)","37.4786896","127.0118241"
"10","DAVICHI CONCERT: A Stitch in Time","대중음악","20250118","20250119","서울특별시","올림픽공원","서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)","37.5211200","127.1283636"
"11","CRUSH CONCERT: CRUSH HOUR : O","대중음악","20241220","20241222","서울특별시","올림픽공원","서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)","37.5211200","127.1283636"
"12","YUURI ARENA LIVE 2025 at SEOUL","대중음악","20250503","20250504","서울특별시","올림픽공원","서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)","37.5211200","127.1283636"
"13","마타하리","뮤지컬","20241205","20250302","서울특별시","LG아트센터","서울특별시 강남구 논현로 508 (역삼동)","37.5022937","127.0375211"
"14","스윙 데이즈_암호명 A","뮤지컬","20241119","20250209","서울특별시","충무아트센터","서울특별시 중구 퇴계로 387 (흥인동)","37.5660139","127.0148131"
"15","베르테르","뮤지컬","20250117","20250316","서울특별시","디큐브아트센터","서울특별시 구로구 경인로 662 (신도림동, 디큐브시티)","37.5084321","126.8887332"
"16","지저스 크라이스트 수퍼스타","뮤지컬","20241107","20250112","서울특별시","광림아트센터","서울특별시 강남구 논현로163길 33 (신사동)","37.5238342","127.0251165"
"17","시라노","뮤지컬","20241206","20250223","서울특별시","예술의전당","서울특별시 서초구 남부순환로 2406 (서초동)","37.4786896","127.0118241"
"18","킹키부츠 [대구]","뮤지컬","20250111","20250126","대구광역시","계명아트센터","대구광역시 달서구 달구벌대로 1095 - 0 계명대학교","35.8570982","128.4871470"
"19","유니버설발레단, 호두까기인형","무용","20241219","20241230","서울특별시","세종문화회관","서울특별시 종로구 세종대로 175 (세종로)","37.5725254","126.9756429"
"20","명성황후 [부산]","뮤지컬","20241220","20241229","부산광역시","드림씨어터 [부산]","부산광역시 남구 전포대로 133 (문현동)","35.1482786","129.0654385"
"21","국립발레단, 호두까기인형","무용","20241214","20241225","서울특별시","예술의전당","서울특별시 서초구 남부순환로 2406 (서초동)","37.4786896","127.0118241"
"22","Ado WORLD TOUR: Hibana","대중음악","20250515","20250515","경기도","킨텍스","경기도 고양시 일산서구 킨텍스로 217-60 (대화동)","37.6693071","126.7456845"
"23","스테이지 파이터 GALA SHOW: THE ORIGINALS [서울]","무용","20241228","20241229","서울특별시","잠실종합운동장","서울특별시 송파구 올림픽로 25 (잠실동)","37.5161925","127.0759221"
"24","KYUHYUN 10th Anniversary Asia Tour: COLORS","대중음악","20241220","20241222","서울특별시","올림픽공원","서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)","37.5211200","127.1283636"
"25","최현우 19+Ⅰ","서커스/마술","20241123","20241229","서울특별시","올림픽공원","서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)","37.5211200","127.1283636"
"26","BTOB CONCERT: BE ALRIGHT","대중음악","20241227","20241229","서울특별시","잠실학생체육관","서울특별시 송파구 올림픽로 25 (잠실동)","37.5164791","127.0729996"
"27","자우림 단독 콘서트: MIDNIGHT EXPRESS [서울]","대중음악","20241227","20241229","서울특별시","장충체육관","서울특별시 중구 장충동 동호로 241","37.5581660","127.0067170"
"28","장구의 신: 박서진 Show [일산]","대중음악","20241123","20241124","경기도","킨텍스","경기도 고양시 일산서구 킨텍스로 217-60 (대화동)","37.6693071","126.7456845"
"29","명성황후","뮤지컬","20250121","20250330","서울특별시","세종문화회관","서울특별시 종로구 세종대로 175 (세종로)","37.5725254","126.9756429"
"30","영탁 단독 콘서트: TAK SHOW3 [부산]","대중음악","20250111","20250112","부산광역시","벡스코 (BEXCO)","부산광역시 해운대구 APEC로 55","35.1679229","129.1356974"
"31","영탁 단독 콘서트: TAK SHOW3 [인천]","대중음악","20250118","20250119","인천광역시","송도컨벤시아","인천광역시 연수구 송도동 센트럴로 123","37.3881431","126.6455531"
"32","터치드 (TOUCHED) 단독 콘서트: HIGHLIGHT Ⅲ","대중음악","20250125","20250126","서울특별시","올림픽공원","서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)","37.5211200","127.1283636"
"33","스테이지 파이터 GALA SHOW: THE ORIGINALS [인천]","무용","20241225","20241225","인천광역시","송도컨벤시아","인천광역시 연수구 송도동 센트럴로 123","37.3881431","126.6455531"
"34","20집 발매 기념, 조용필 & 위대한탄생 Concert [부산]","대중음악","20241228","20241228","부산광역시","벡스코 (BEXCO)","부산광역시 해운대구 APEC로 55","35.1679229","129.1356974"
"35","영탁 단독 콘서트: TAK SHOW3 [대전]","대중음악","20241228","20241229","대전광역시","대전컨벤션센터(DCC)","대전광역시 유성구 엑스포로 107 (도룡동)","36.3749012","127.3916831"
"36","20집 발매 기념, 조용필 & 위대한탄생 Concert [서울]","대중음악","20241123","20241201","서울특별시","올림픽공원","서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)","37.5211200","127.1283636"
