RANK_CO,PBLPRFR_NM,GENRE_NM,PBLPRFR_BEGIN_DE,PBLPRFR_END_DE,AREA_NM,PBLPRFR_PLACE_NM,RDNMADR_NM,LC_LA,LC_LO
"1","콜드플레이 내한공연 [고양]","대중음악","20250416","20250425","경기도","고양종합운동장","경기도 고양시 일산서구 중앙로 1601 (대화동)","37.6763871","126.7420729"
"2","SEVENTEEN WORLD TOUR, RIGHT HERE [고양]","대중음악","20241012","20241013","경기도","고양종합운동장","경기도 고양시 일산서구 중앙로 1601 (대화동)","37.6763871","126.7420729"
"3","킹키부츠","뮤지컬","20240907","20241110","서울특별시","블루스퀘어","서울특별시 용산구 이태원로 294 (한남동)","37.5408717","127.0024401"
"4","JX CONCERT: IDENTITY [서울]","대중음악","20241108","20241110","서울특별시","올림픽공원","서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)","37.5211200","127.1283636"
"5","알라딘","뮤지컬","20241117","20250622","서울특별시","샤롯데씨어터","서울특별시 송파구 올림픽로 240 (잠실동)","37.5105162","127.1005630"
"6","TOMORROW X TOGETHER WORLD TOUR, ACT: PROMISE [서울 (앵콜) ]","대중음악","20241101","20241103","서울특별시","올림픽공원","서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)","37.5211200","127.1283636"
"7","YOASOBI ASIA TOUR, LIVE IN KOREA","대중음악","20241207","20241208","인천광역시","인스파이어리조트","인천광역시 중구 공항문화로 127 (운서동)","37.4655301","126.3891177"
"8","ENHYPEN WORLD TOUR: WALK THE LINE [고양]","대중음악","20241005","20241006","경기도","고양종합운동장","경기도 고양시 일산서구 중앙로 1601 (대화동)","37.6763871","126.7420729"
"9","윤하 연말 콘서트: GROWTH THEORY","대중음악","20241115","20241117","서울특별시","올림픽공원","서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)","37.5211200","127.1283636"
"10","Best of Fujii Kaze ASIA TOUR [서울]","대중음악","20241214","20241214","서울특별시","고척스카이돔","서울특별시 구로구 경인로 430","37.4982126","126.8670887"
"11","DOYOUNG CONCERT: Dearest Youth,","대중음악","20241101","20241103","서울특별시","올림픽공원","서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)","37.5211200","127.1283636"
"12","지킬앤하이드","뮤지컬","20241129","20250518","서울특별시","블루스퀘어","서울특별시 용산구 이태원로 294 (한남동)","37.5408717","127.0024401"
"13","영탁 단독 콘서트, TAK SHOW3","대중음악","20241025","20241027","서울특별시","올림픽공원","서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)","37.5211200","127.1283636"
"14","그랜드 민트 페스티벌","대중음악","20241026","20241103","서울특별시","올림픽공원","서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)","37.5211200","127.1283636"
"15","베르사유의 장미","뮤지컬","20240716","20241013","서울특별시","충무아트센터","서울특별시 중구 퇴계로 387 (흥인동)","37.5660139","127.0148131"
"16","LINKIN PARK: From Zero World Tour [인천]","대중음악","20240928","20240928","인천광역시","인스파이어리조트","인천광역시 중구 공항문화로 127 (운서동)","37.4655301","126.3891177"
"17","DOH KYUNG SOO ASIA FAN CONCERT TOUR: BLOOM THE FINAL","대중음악","20241011","20241013","서울특별시","잠실종합운동장","서울특별시 송파구 올림픽로 25 (잠실동)","37.5161925","127.0759221"
"18","킹키부츠 [부산]","뮤지컬","20241123","20241201","부산광역시","드림씨어터 [부산]","부산광역시 남구 전포대로 133 (문현동)","35.1482786","129.0654385"
"19","시카고 [대구]","뮤지컬","20241129","20241208","대구광역시","대구오페라하우스","대구광역시 북구 호암로 15 (칠성동2가)","35.8834620","128.5921952"
"20","하데스타운 [부산]","뮤지컬","20241018","20241103","부산광역시","드림씨어터 [부산]","부산광역시 남구 전포대로 133 (문현동)","35.1482786","129.0654385"
"21","하데스타운 [서울]","뮤지컬","20240712","20241006","서울특별시","샤롯데씨어터","서울특별시 송파구 올림픽로 240 (잠실동)","37.5105162","127.1005630"
"22","제6회 슬로우 라이프 슬로우 라이브","대중음악","20241011","20241013","서울특별시","올림픽공원","서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)","37.5211200","127.1283636"
"23","지저스 크라이스트 수퍼스타","뮤지컬","20241107","20250112","서울특별시","광림아트센터","서울특별시 강남구 논현로163길 33 (신사동)","37.5238342","127.0251165"
"24","햄릿","연극","20241018","20241117","서울특별시","예술의전당","서울특별시 서초구 남부순환로 2406 (서초동)","37.4786896","127.0118241"
"25","젠틀맨스 가이드: 사랑과 살인편","뮤지컬","20240706","20241020","서울특별시","광림아트센터","서울특별시 강남구 논현로163길 33 (신사동)","37.5238342","127.0251165"
