RANK_CO,PBLPRFR_NM,GENRE_NM,PBLPRFR_BEGIN_DE,PBLPRFR_END_DE,AREA_NM,PBLPRFR_PLACE_NM,RDNMADR_NM,LC_LA,LC_LO
"1","Stray Kids World Tour: dominATE [서울]","대중음악","20240824","20240901","서울특별시","올림픽공원","서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)","37.5211200","127.1283636"
"2","프랑켄슈타인","뮤지컬","20240605","20240825","서울특별시","블루스퀘어","서울특별시 용산구 이태원로 294 (한남동)","37.5408717","127.0024401"
"3","god CONCERT, CHAPTER 0","대중음악","20240927","20240929","서울특별시","올림픽공원","서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)","37.5211200","127.1283636"
"4","시카고 [서울]","뮤지컬","20240607","20240929","서울특별시","디큐브아트센터","서울특별시 구로구 경인로 662 (신도림동, 디큐브시티)","37.5084321","126.8887332"
"5","하데스타운 [서울]","뮤지컬","20240712","20241006","서울특별시","샤롯데씨어터","서울특별시 송파구 올림픽로 240 (잠실동)","37.5105162","127.1005630"
"6","잔나비 콘서트, 판타스틱 올드 패션드: MOVIE STAR RISING [서울]","대중음악","20240831","20240908","서울특별시","잠실종합운동장","서울특별시 송파구 올림픽로 25 (잠실동)","37.5161925","127.0759221"
"7","15주년 기념공연, 영웅","뮤지컬","20240529","20240811","서울특별시","세종문화회관","서울특별시 종로구 세종대로 175 (세종로)","37.5725254","126.9756429"
"8","칸예 웨스트, Ye x Ty Dolla Sign Vultures Listening Experience","대중음악","20240823","20240823","경기도","고양종합운동장","경기도 고양시 일산서구 중앙로 1601 (대화동)","37.6763871","126.7420729"
"9","부산국제록페스티벌","대중음악","20241004","20241006","부산광역시","삼락생태공원","부산광역시 사상구 낙동대로 1231 (삼락동)","35.1700322","128.9765692"
"10","킹키부츠","뮤지컬","20240907","20241110","서울특별시","블루스퀘어","서울특별시 용산구 이태원로 294 (한남동)","37.5408717","127.0024401"
"11","베르사유의 장미","뮤지컬","20240716","20241013","서울특별시","충무아트센터","서울특별시 중구 퇴계로 387 (흥인동)","37.5660139","127.0148131"
"12","TAEMIN WORLD TOUR, Ephemeral Gaze IN INCHEON","대중음악","20240831","20240901","인천광역시","인스파이어리조트","인천광역시 중구 공항문화로 127 (운서동)","37.4655301","126.3891177"
"13","맥베스","연극","20240713","20240818","서울특별시","국립극장","서울특별시 중구 장충단로 59 (장충동2가)","37.5523153","126.9996360"
"14","4월은 너의 거짓말","뮤지컬","20240628","20240825","서울특별시","예술의전당","서울특별시 서초구 남부순환로 2406 (서초동)","37.4786896","127.0118241"
"15","Red Velvet FANCON TOUR, HAPPINESS: My Dear. ReVe1uv [서울]","대중음악","20240802","20240804","서울특별시","올림픽공원","서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)","37.5211200","127.1283636"
"16","젠틀맨스 가이드: 사랑과 살인편","뮤지컬","20240706","20241020","서울특별시","광림아트센터","서울특별시 강남구 논현로163길 33 (신사동)","37.5238342","127.0251165"
"17","RIIZE FAN-CON: RIIZING DAY FINALE [서울]","대중음악","20240913","20240915","서울특별시","올림픽공원","서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)","37.5211200","127.1283636"
"18","THE VOLUNTEERS ASIA TOUR [서울]","대중음악","20240830","20240901","서울특별시","장충체육관","서울특별시 중구 장충동 동호로 241","37.5581660","127.0067170"
"19","15주년 기념공연, 영웅 [대구]","뮤지컬","20240920","20240929","대구광역시","계명아트센터","대구광역시 달서구 달구벌대로 1095 - 0 계명대학교","35.8570982","128.4871470"
"20","AAA TOUR BY HYUKOH & SUNSET ROLLERCOASTER","대중음악","20240907","20240908","서울특별시","올림픽공원","서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)","37.5211200","127.1283636"
"21","Someday Festival","대중음악","20240907","20240908","서울특별시","난지한강공원","서울특별시 마포구 한강난지로 162","37.5628372","126.8854229"
"22","아레나 디 베로나 오리지널 프로덕션, 투란도트","서양음악(클래식)","20241012","20241019","서울특별시","올림픽공원","서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)","37.5211200","127.1283636"
"23","KIM SUNG KYU CONCERT, LV3: Let's Vacay","대중음악","20240803","20240804","서울특별시","잠실학생체육관","서울특별시 송파구 올림픽로 25 (잠실동)","37.5164791","127.0729996"
"24","BoA LIVE TOUR, BoA: One' s Own","대중음악","20241012","20241013","서울특별시","올림픽공원","서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)","37.5211200","127.1283636"
"25","엔젤스 인 아메리카, 파트 원: 밀레니엄이 다가온다","연극","20240806","20240928","서울특별시","LG아트센터","서울특별시 강남구 논현로 508 (역삼동)","37.5022937","127.0375211"
"26","dingo music concert, Killing Voice","대중음악","20240907","20240908","서울특별시","올림픽공원","서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)","37.5211200","127.1283636"
"27","이찬원 콘서트, 찬가 [부산]","대중음악","20240921","20240922","부산광역시","벡스코 (BEXCO)","부산광역시 해운대구 APEC로 55","35.1679229","129.1356974"
"28","KEYLAND ON: AND ON #","대중음악","20240914","20240915","서울특별시","올림픽공원","서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)","37.5211200","127.1283636"
"29","잔나비 콘서트, 판타스틱 올드 패션드: MOVIE STAR RISING [부산]","대중음악","20240914","20240915","부산광역시","벡스코 (BEXCO)","부산광역시 해운대구 APEC로 55","35.1679229","129.1356974"
"30","TAEYANG TOUR: THE LIGHT YEAR [서울]","대중음악","20240831","20240901","서울특별시","올림픽공원","서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)","37.5211200","127.1283636"
"31","베어 더 뮤지컬","뮤지컬","20240522","20240825","서울특별시","두산아트센터","서울특별시 종로구 종로33길 15 (연지동)","37.5717290","127.0011893"
"32","사의찬미 [대학로]","뮤지컬","20240702","20240922","서울특별시","링크아트센터","서울특별시 종로구 대학로14길 29","37.5846900","127.0022947"
"33","이블데드","뮤지컬","20240620","20240901","서울특별시","유니플렉스","서울특별시 종로구 대학로12길 64","37.5811328","127.0036997"
"34","LEE GIKWANG SOLO CONCERT, OBSESSED","대중음악","20240817","20240818","서울특별시","올림픽공원","서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)","37.5211200","127.1283636"
"35","어쩌면 해피엔딩 [대학로]","뮤지컬","20240618","20240908","서울특별시","예스24 스테이지(구. DCF대명문화공장)","서울특별시 종로구 대학로12길 21 (동숭동)","37.5827158","127.0032484"
"36","햄릿","연극","20240609","20240901","서울특별시","홍익대 대학로 아트센터","서울특별시 종로구 대학로 57","37.5769696","127.0020331"
"37","더 매직스타 TOP7 전국투어 매직쇼 [서울]","서커스/마술","20240802","20240804","서울특별시","올림픽공원","서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)","37.5211200","127.1283636"
"38","Xdinary Heroes Concert: Closed beta: v6.3","대중음악","20240802","20240804","서울특별시","예스24 라이브홀","서울 광진구 구천면로 20","37.5457268","127.1079679"
"39","NELL CLUB CONCERT, Our Eutopia","대중음악","20240815","20240825","서울특별시","명화라이브홀","서울특별시 영등포구 버드나루로 30 (영등포동2가)","37.5215623","126.9124118"
"40","살리에르","뮤지컬","20240711","20240921","서울특별시","세종문화회관","서울특별시 종로구 세종대로 175 (세종로)","37.5725254","126.9756429"
"41","THE LAST FAN-CON, CURTAIN CALL","대중음악","20240817","20240818","서울특별시","KBS스포츠월드","서울특별시 강서구 공항대로 376 (화곡동) kbs스포츠월드","37.5567802","126.8476094"
"42","미오 프라텔로 [대학로]","뮤지컬","20240521","20241027","서울특별시","링크아트센터","서울특별시 종로구 대학로14길 29","37.5846900","127.0022947"
"43","미스터트롯2 진선미 콘서트: 트롯트립 (앵콜)","대중음악","20240823","20240824","서울특별시","연세대학교","서울특별시 서대문구 연세로 50 (신촌동)","37.5637867","126.9429135"
