RANK_CO,PBLPRFR_NM,GENRE_NM,PBLPRFR_BEGIN_DE,PBLPRFR_END_DE,AREA_NM,PBLPRFR_PLACE_NM,RDNMADR_NM,LC_LA,LC_LO
"1","싸이 흠뻑쇼: SUMMER SWAG [부산]","대중음악","20240810","20240811","부산광역시","부산아시아드 경기장","부산광역시 연제구 월드컵대로 344","35.1900874","129.0583560"
"2","싸이흠뻑쇼: SUMMER SWAG [인천]","대중음악","20240817","20240818","인천광역시","인천아시아드주경기장","인천광역시 서구 봉수대로 806 (연희동)","37.5465314","126.6639609"
"3","싸이 흠뻑쇼: SUMMER SWAG [수원]","대중음악","20240824","20240825","경기도","수원월드컵경기장","경기도 수원시 팔달구 월드컵로 310 (우만동) 4층","37.2863374","127.0364563"
"4","프랑켄슈타인","뮤지컬","20240605","20240825","서울특별시","블루스퀘어","서울특별시 용산구 이태원로 294 (한남동)","37.5408717","127.0024401"
"5","싸이흠뻑쇼: SUMMERSWAG [과천]","대중음악","20240831","20240831","경기도","과천 서울대공원","경기도 과천시 대공원광장로 102 (막계동)","37.4359650","127.0142281"
"6","싸이 흠뻑쇼: SUMMER SWAG [대구]","대중음악","20240713","20240714","대구광역시","대구스타디움","대구광역시 수성구 유니버시아드로 180","35.8297681","128.6901638"
"7","싸이 흠뻑쇼: SUMMER SWAG [광주]","대중음악","20240706","20240707","광주광역시","광주월드컵경기장","광주광역시 서구 금화로 240 (풍암동)","35.1333626","126.8778273"
"8","싸이흠뻑쇼: SUMMER SWAG [대전]","대중음악","20240727","20240728","대전광역시","목원대학교","대전광역시 서구 도안북로 88 (도안동)","36.3254316","127.3385292"
"9","시카고 [서울]","뮤지컬","20240607","20240929","서울특별시","디큐브아트센터","서울특별시 구로구 경인로 662 (신도림동, 디큐브시티)","37.5084321","126.8887332"
"10","두아 리파 내한공연, DUA LIPA: Radical Optimism Tour","대중음악","20241204","20241205","서울특별시","고척스카이돔","서울특별시 구로구 경인로 430","37.4982126","126.8670887"
"11","15주년 기념공연, 영웅","뮤지컬","20240529","20240811","서울특별시","세종문화회관","서울특별시 종로구 세종대로 175 (세종로)","37.5725254","126.9756429"
"12","THE BOYZ WORLD TOUR: ZENERATION Ⅱ","대중음악","20240712","20240714","서울특별시","올림픽공원","서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)","37.5211200","127.1283636"
"13","BAEKHYUN ASIA TOUR: Lonsdaleite [dot]","대중음악","20240727","20240728","서울특별시","올림픽공원","서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)","37.5211200","127.1283636"
"14","싸이흠뻑쇼: SUMMER SWAG [원주]","대중음악","20240629","20240629","강원도","원주 종합운동장","강원도 원주시 서원대로 311 (명륜동)","37.3368381","127.9436870"
"15","TREASURE: REBOOT, FINAL [서울]","대중음악","20240815","20240815","서울특별시","올림픽공원","서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)","37.5211200","127.1283636"
"16","싸이흠뻑쇼: SUMMER SWAG [속초]","대중음악","20240803","20240803","강원도","속초종합경기장","강원특별자치도 속초시 관광로363번길 92","38.1927209","128.5346857"
"17","G, IDLE WORLD TOUR: iDOL [서울]","대중음악","20240803","20240804","서울특별시","올림픽공원","서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)","37.5211200","127.1283636"
