RANK_CO,PBLPRFR_NM,GENRE_NM,PBLPRFR_BEGIN_DE,PBLPRFR_END_DE,AREA_NM,PBLPRFR_PLACE_NM,RDNMADR_NM,LC_LA,LC_LO
"1","j-hope Tour: HOPE ON THE STAGE [서울]","대중음악","20250228","20250302","서울특별시","올림픽공원","서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)","37.5211200","127.1283636"
"2","지킬앤하이드","뮤지컬","20241129","20250518","서울특별시","블루스퀘어","서울특별시 용산구 이태원로 294 (한남동)","37.5408717","127.0024401"
"3","알라딘","뮤지컬","20241117","20250622","서울특별시","샤롯데씨어터","서울특별시 송파구 올림픽로 240 (잠실동)","37.5105162","127.1005630"
"4","웃는 남자","뮤지컬","20250109","20250309","서울특별시","예술의전당","서울특별시 서초구 남부순환로 2406 (서초동)","37.4786896","127.0118241"
"5","TAEYEON CONCERT: The TENSE [서울]","대중음악","20250307","20250309","서울특별시","올림픽공원","서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)","37.5211200","127.1283636"
"6","THE BOYZ FAN-CON: THE B LAND","대중음악","20250131","20250202","서울특별시","올림픽공원","서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)","37.5211200","127.1283636"
"7","aespa LIVE TOUR, SYNK: PARALLEL LINE [앵콜]","대중음악","20250315","20250316","서울특별시","올림픽공원","서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)","37.5211200","127.1283636"
"8","베르테르","뮤지컬","20250117","20250316","서울특별시","디큐브아트센터","서울특별시 구로구 경인로 662 (신도림동, 디큐브시티)","37.5084321","126.8887332"
"9","황영웅 앨범 발매 쇼케이스, PANORAMA: SHOWKING","대중음악","20250208","20250209","서울특별시","올림픽공원","서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)","37.5211200","127.1283636"
"10","TOMORROW X TOGETHER WORLD TOUR, ACT: PROMISE EP.2 [인천]","대중음악","20250307","20250309","인천광역시","인스파이어리조트","인천광역시 중구 공항문화로 127 (운서동)","37.4655301","126.3891177"
"11","시라노","뮤지컬","20241206","20250223","서울특별시","예술의전당","서울특별시 서초구 남부순환로 2406 (서초동)","37.4786896","127.0118241"
"12","World DJ Festival [서울]","대중음악","20250614","20250615","경기도","서울랜드","경기도 과천시 광명로 181 (막계동)","37.4347742","127.0167325"
"13","DAY6 3RD WORLD TOUR: FOREVER YOUNG [부산]","대중음악","20250201","20250202","부산광역시","벡스코 (BEXCO)","부산광역시 해운대구 APEC로 55","35.1679229","129.1356974"
"14","명성황후","뮤지컬","20250121","20250330","서울특별시","세종문화회관","서울특별시 종로구 세종대로 175 (세종로)","37.5725254","126.9756429"
"15","마타하리","뮤지컬","20241205","20250302","서울특별시","LG아트센터","서울특별시 강남구 논현로 508 (역삼동)","37.5022937","127.0375211"
"16","영탁 단독 콘서트: TAK SHOW3 [서울 (앵콜) ]","대중음악","20250222","20250223","서울특별시","올림픽공원","서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)","37.5211200","127.1283636"
"17","윤하 앵콜 콘서트, GROWTH THEORY: Final Edition","대중음악","20250214","20250216","서울특별시","올림픽공원","서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)","37.5211200","127.1283636"
"18","검정치마 단독공연: SONGS TO BRING YOU HOME","대중음악","20250207","20250209","서울특별시","올림픽공원","서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)","37.5211200","127.1283636"
"19","LEECHANGSUB SOLO CONCERT: The Wayfarer [서울 (앵콜) ]","대중음악","20250207","20250209","서울특별시","올림픽공원","서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)","37.5211200","127.1283636"
"20","ATEEZ WORLD TOUR: TOWARDS THE LIGHT: WILL TO POWER [서울]","대중음악","20250322","20250323","서울특별시","올림픽공원","서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)","37.5211200","127.1283636"
"21","더 글로우 [일산]","대중음악","20250329","20250330","경기도","킨텍스","경기도 고양시 일산서구 킨텍스로 217-60 (대화동)","37.6693071","126.7456845"
"22","GOT7 CONCERT: NESTFEST","대중음악","20250201","20250202","서울특별시","올림픽공원","서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)","37.5211200","127.1283636"
"23","TAEYANG TOUR: THE LIGHT YEAR [앵콜]","대중음악","20250201","20250201","인천광역시","인스파이어리조트","인천광역시 중구 공항문화로 127 (운서동)","37.4655301","126.3891177"
"24","NCT WISH ASIA TOUR: LOG [서울]","대중음악","20250321","20250323","서울특별시","올림픽공원","서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)","37.5211200","127.1283636"
"25","TAEYANG TOUR: THE LIGHT YEAR [앵콜]","대중음악","20250202","20250202","인천광역시","인스파이어리조트","인천광역시 중구 공항문화로 127 (운서동)","37.4655301","126.3891177"
"26","여신님이 보고 계셔","뮤지컬","20241126","20250303","서울특별시","유니플렉스","서울특별시 종로구 대학로12길 64","37.5811328","127.0036997"
"27","ONEW CONCERT, ONEW THE LIVE: CONNECTION [서울]","대중음악","20250221","20250223","서울특별시","올림픽공원","서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)","37.5211200","127.1283636"
"28","스윙 데이즈_암호명 A","뮤지컬","20241119","20250209","서울특별시","충무아트센터","서울특별시 중구 퇴계로 387 (흥인동)","37.5660139","127.0148131"
"29","이프덴 [대학로]","뮤지컬","20241203","20250302","서울특별시","홍익대 대학로 아트센터","서울특별시 종로구 대학로 57","37.5769696","127.0020331"
"30","세일즈맨의 죽음","연극","20250107","20250303","서울특별시","세종문화회관","서울특별시 종로구 세종대로 175 (세종로)","37.5725254","126.9756429"
"31","EDC KOREA","대중음악","20250425","20250426","인천광역시","인스파이어리조트","인천광역시 중구 공항문화로 127 (운서동)","37.4655301","126.3891177"
"32","박지현 첫번째 단독 콘서트: 쇼맨쉽 SHOWMANSHIP [서울]","대중음악","20250215","20250216","서울특별시","올림픽공원","서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)","37.5211200","127.1283636"
"33","TREASURE FAN CONCERT: SPECIAL MOMENT [서울]","대중음악","20250328","20250330","서울특별시","경희대학교","서울특별시 동대문구 경희대로 26","37.5939491","127.0548910"
"34","정동원棟동 이야기話화 3rd 전국투어 콘서트 [서울]","대중음악","20250328","20250330","서울특별시","올림픽공원","서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)","37.5211200","127.1283636"
"35","폴킴 소극장 콘서트: Sincerely yours","대중음악","20250208","20250216","서울특별시","블루스퀘어","서울특별시 용산구 이태원로 294 (한남동)","37.5408717","127.0024401"
"36","종의 기원","뮤지컬","20241229","20250323","서울특별시","동덕여대공연예술센터","서울특별시 종로구 동숭길 126 (동숭동)","35.5428873","129.3270884"
"37","GOT7 CONCERT: NESTFEST (1.31)","대중음악","20250131","20250131","서울특별시","올림픽공원","서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)","37.5211200","127.1283636"
"38","고스트 베이커리","뮤지컬","20241219","20250223","서울특별시","두산아트센터","서울특별시 종로구 종로33길 15 (연지동)","37.5717290","127.0011893"
"39","MIKA NAKASHIMA ASIA TOUR in SEOUL","대중음악","20250510","20250510","서울특별시","고려대학교 화정체육관","서울특별시 성북구 안암로 145 (안암동5가)","37.5929400","127.0249030"
"40","프렌치 오리지널 내한공연, 돈 주앙","뮤지컬","20250404","20250413","서울특별시","예술의전당","서울특별시 서초구 남부순환로 2406 (서초동)","37.4786896","127.0118241"
"41","BABYMONSTER 1st WORLD TOUR, HELLO MONSTERS IN SEOUL","대중음악","20250125","20250126","서울특별시","올림픽공원","서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)","37.5211200","127.1283636"
"42","미아 파밀리아","뮤지컬","20241219","20250323","서울특별시","링크아트센터드림","서울특별시 종로구 동숭길 123 (동숭동)","37.5820171","127.0035363"
"43","JO1 WORLD TOUR JO1DER SHOW: WHEREVER WE ARE [서울]","대중음악","20250329","20250330","서울특별시","블루스퀘어","서울특별시 용산구 이태원로 294 (한남동)","37.5408717","127.0024401"
"44","틱틱붐","뮤지컬","20241116","20250202","서울특별시","코엑스 아티움","서울특별시 강남구 삼성동 영동대로 513 코엑스아티움","37.5099930","127.0614770"
"45","블러디 러브","뮤지컬","20241207","20250216","서울특별시","한전아트센터","서울특별시 서초구 서초동 1355","37.4856830","127.0280230"
"46","광화문 연가 [대구]","뮤지컬","20250308","20250309","대구광역시","계명아트센터","대구광역시 달서구 달구벌대로 1095 - 0 계명대학교","35.8570982","128.4871470"
"47","명일방주 5주년 기념 오케스트라 콘서트","서양음악(클래식)","20250426","20250426","서울특별시","경희대학교","서울특별시 동대문구 경희대로 26","37.5939491","127.0548910"
"48","스타크로스드","연극","20241210","20250302","서울특별시","예스24 스테이지(구. DCF대명문화공장)","서울특별시 종로구 대학로12길 21 (동숭동)","37.5827158","127.0032484"
"49","Theatre 이문세 [부산]","대중음악","20250404","20250405","부산광역시","드림씨어터 [부산]","부산광역시 남구 전포대로 133 (문현동)","35.1482786","129.0654385"
"50","빨래 [대학로]","뮤지컬","20240607","20250302","서울특별시","유니플렉스","서울특별시 종로구 대학로12길 64","37.5811328","127.0036997"
