RANK_CO,PBLPRFR_NM,GENRE_NM,PBLPRFR_BEGIN_DE,PBLPRFR_END_DE,AREA_NM,PBLPRFR_PLACE_NM,RDNMADR_NM,LC_LA,LC_LO
"1","NCT DREAM WORLD TOUR: THE DREAM SHOW 3: DREAMSCAPE FINALE [서울]","대중음악","20241129","20241201","서울특별시","고척스카이돔","서울특별시 구로구 경인로 430","37.4982126","126.8670887"
"2","찰리푸스 내한공연","대중음악","20241207","20241208","서울특별시","고척스카이돔","서울특별시 구로구 경인로 430","37.4982126","126.8670887"
"3","성시경 연말 콘서트","대중음악","20241227","20241231","서울특별시","올림픽공원","서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)","37.5211200","127.1283636"
"4","나훈아 라스트 콘서트: 고마웠습니다 [서울]","대중음악","20250110","20250112","서울특별시","올림픽공원","서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)","37.5211200","127.1283636"
"5","알라딘","뮤지컬","20241117","20250622","서울특별시","샤롯데씨어터","서울특별시 송파구 올림픽로 240 (잠실동)","37.5105162","127.1005630"
"6","나훈아 라스트 콘서트: 고마웠습니다 [부산]","대중음악","20241214","20241215","부산광역시","벡스코 (BEXCO)","부산광역시 해운대구 APEC로 55","35.1679229","129.1356974"
"7","나훈아 라스트 콘서트: 고마웠습니다 [대구]","대중음악","20241207","20241208","대구광역시","엑스코 컨벤션홀","대구 북구 엑스코로 10","35.9068440","128.6133130"
"8","킹키부츠","뮤지컬","20240907","20241110","서울특별시","블루스퀘어","서울특별시 용산구 이태원로 294 (한남동)","37.5408717","127.0024401"
"9","INFINITE 15TH ANNIVERSARY CONCERT: LIMITED EDITION","대중음악","20241206","20241208","서울특별시","올림픽공원","서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)","37.5211200","127.1283636"
"10","20집 발매 기념, 조용필 & 위대한탄생 Concert [서울]","대중음악","20241123","20241201","서울특별시","올림픽공원","서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)","37.5211200","127.1283636"
"11","요네즈 켄시 내한공연","대중음악","20250322","20250323","인천광역시","인스파이어리조트","인천광역시 중구 공항문화로 127 (운서동)","37.4655301","126.3891177"
"12","광화문 연가","뮤지컬","20241023","20250105","서울특별시","디큐브아트센터","서울특별시 구로구 경인로 662 (신도림동, 디큐브시티)","37.5084321","126.8887332"
