RANK_CO,PBLPRFR_NM,GENRE_NM,PBLPRFR_BEGIN_DE,PBLPRFR_END_DE,AREA_NM,PBLPRFR_PLACE_NM,RDNMADR_NM,LC_LA,LC_LO
"36","EDC KOREA","대중음악","20250425","20250426","인천광역시","인스파이어리조트","인천광역시 중구 공항문화로 127 (운서동)","37.4655301","126.3891177"
"37","최현우 19+Ⅰ","서커스/마술","20241123","20241229","서울특별시","올림픽공원","서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)","37.5211200","127.1283636"
"38","고스트 베이커리","뮤지컬","20241219","20250223","서울특별시","두산아트센터","서울특별시 종로구 종로33길 15 (연지동)","37.5717290","127.0011893"
"39","BANG & JUNG & YOO & MOON ENCORE CONCERT: Farewell, Earth [앵콜]","대중음악","20250111","20250112","서울특별시","KBS스포츠월드","서울특별시 강서구 공항대로 376 (화곡동) kbs스포츠월드","37.5567802","126.8476094"
"40","20집 발매 기념, 조용필 & 위대한탄생 Concert [인천]","대중음악","20250125","20250125","인천광역시","송도컨벤시아","인천광역시 연수구 송도동 센트럴로 123","37.3881431","126.6455531"
"41","스테이지 파이터 GALA SHOW: THE ORIGINALS [광주]","무용","20250126","20250126","광주광역시","김대중컨벤션센터","광주광역시 서구 치평동 상무누리로 30","35.1467771","126.8404805"
"42","SUPER JUNIOR, D & E FAN PARTY: Jingle Jingle!","대중음악","20241222","20241222","서울특별시","세종대학교 대양홀","서울 광진구 능동로 209 세종대학교","37.5485890","127.0744970"
"43","유니버설발레단, 호두까기인형","무용","20241219","20241230","서울특별시","세종문화회관","서울특별시 종로구 세종대로 175 (세종로)","37.5725254","126.9756429"
"44","Theatre 이문세 [용인]","대중음악","20250314","20250315","경기도","용인포은아트홀","경기도 용인시 수지구 포은대로 499 (죽전동) 용인포은아트홀","37.3256610","127.1047000"
"45","이무진 전국투어 콘서트: 별책부록 [서울 (앵콜) ]","대중음악","20250111","20250112","서울특별시","연세대학교","서울특별시 서대문구 연세로 50 (신촌동)","37.5637867","126.9429135"
"46","김연우 크리스마스 콘서트: 오마이갓연우 [서울]","대중음악","20241221","20241222","서울특별시","경희대학교","서울특별시 동대문구 경희대로 26","37.5939491","127.0548910"
"47","지저스 크라이스트 수퍼스타 [부산]","뮤지컬","20250117","20250119","부산광역시","드림씨어터 [부산]","부산광역시 남구 전포대로 133 (문현동)","35.1482786","129.0654385"
"48","테베랜드","연극","20241120","20250209","서울특별시","충무아트센터","서울특별시 중구 퇴계로 387 (흥인동)","37.5660139","127.0148131"
"49","시카고 [여수]","뮤지컬","20250214","20250216","전라남도","예울마루","전라남도 여수시 예울마루로 100 (시전동)","34.7498095","127.6649899"
"50","YENA 1ST CONCERT: 네모로부터 시작하는 이세계! 여행","대중음악","20250125","20250126","서울특별시","연세대학교","서울특별시 서대문구 연세로 50 (신촌동)","37.5637867","126.9429135"
