Team,Season,W,L,WIN%,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
DetroitPistons,02-03,50,32,0.61,48.5,91.4,32.9,76.5,43,6.5,18.1,35.8,19,24.6,77.1,10.8,29.8,40.6,19.8,13.5,6.8,5.7,4.3,21.3,0.2,3.7
LosAngelesLakers,02-03,50,32,0.61,48.6,100.4,37.7,83.6,45.1,5.9,16.7,35.6,19,26,73.4,13.1,31.1,44.3,23.3,14.5,7.8,5.7,3.8,22.9,0.1,2.3
PortlandTrailBlazers,02-03,50,32,0.61,48.4,95.2,36.4,79.2,46,4.6,14,33,17.7,23.7,74.5,12.1,29,41.1,22.7,15.2,8.8,3.9,4.8,19.9,0.1,2.6
NewJerseyNets,02-03,49,33,0.598,48.2,95.4,35.4,80.3,44.1,4.2,12.7,33.2,20.3,26.8,75.7,12.1,30.8,42.9,23,14.8,8.7,4.6,5.2,21.6,0.1,5.2
IndianaPacers,02-03,48,34,0.585,48.5,96.8,35.5,80.6,44.1,4.6,13.6,33.9,21.2,27.7,76.6,12.2,32,44.2,23.3,14.8,8.5,5.4,6.3,22.1,0.1,3.5
Philadelphia76ers,02-03,48,34,0.585,48.4,96.8,36.3,81,44.8,3,9.6,31.1,21.3,27.5,77.5,12.7,29.5,42.2,21.6,14.8,10.3,3.5,6.4,22,0.1,2.3
NewOrleansHornets,02-03,47,35,0.573,48.5,93.9,35.5,81.6,43.5,4.9,13.1,37.6,17.9,23.3,76.8,13.4,30.2,43.6,22,14.8,8,4.8,5.2,21.6,0.1,2.1
UtahJazz,02-03,47,35,0.573,48.2,94.7,35.3,75.5,46.8,2.7,7.8,34.9,21.3,28.6,74.5,12.5,29,41.5,25.6,16.8,8.6,5.7,5.2,22.4,0.1,2.4
BostonCeltics,02-03,44,38,0.537,48.4,92.7,32.9,79.4,41.5,8.8,26.3,33.4,18,24.3,74.2,10.4,30.1,40.5,19.2,14,8.8,3.7,4.5,21.4,0,-0.4
PhoenixSuns,02-03,44,38,0.537,48.3,95.5,36.6,82.6,44.3,4.8,14,34.3,17.4,23.5,74.2,12.8,29.8,42.5,21,14.7,8.1,4.9,5.5,22,0.1,1.1
HoustonRockets,02-03,43,39,0.524,48.6,93.8,34.6,78.8,44,5.4,15.5,34.6,19.1,24.9,76.8,12.5,31.3,43.8,18.4,15.6,7.2,6,4.6,19.5,0.1,1.5
MilwaukeeBucks,02-03,42,40,0.512,48.5,99.5,37.1,81.3,45.7,7.1,18.6,38.3,18.1,23.3,77.6,10.7,28.9,39.5,22.2,12.7,7.6,4.2,4.1,22.2,0.1,0.2
OrlandoMagic,02-03,42,40,0.512,48.3,98.5,35.9,82.5,43.6,6.9,19.4,35.7,19.7,25.4,77.7,11.7,29.2,40.9,20.4,14.4,8.5,3.7,5,23,0.1,0.1
SeattleSuperSonics,02-03,40,42,0.488,48.4,92.1,35.2,80.5,43.7,5.6,15.7,35.3,16.2,21.7,74.4,11.7,29.1,40.8,21.6,13.2,8.3,3.6,5,20.9,0.1,-0.1
GoldenStateWarriors,02-03,38,44,0.463,48.2,102.4,37.3,84.6,44.1,5.2,15.1,34.4,22.6,29,77.8,15.7,31,46.7,20.9,15.8,7.2,6.2,6,21.8,0,-1.1
NewYorkKnicks,02-03,37,45,0.451,48.4,95.9,36.2,82,44.1,7.4,19.3,38.3,16.1,19.8,81.5,10.3,29,39.2,22,14,7.1,3.1,3.8,23,0.1,-1.4
WashingtonWizards,02-03,37,45,0.451,48.4,91.5,34.3,78,44,3.1,9.9,31.2,19.7,25.3,77.9,11.2,29.2,40.4,19.7,13.4,7.6,4.8,4.4,20,0,-1
AtlantaHawks,02-03,35,47,0.427,48.5,94.1,34.9,78.5,44.4,4.9,13.9,35.2,19.4,24.5,79.3,11.4,31.2,42.6,20.5,16.7,7.5,5.8,5,21.7,0.1,-3.6
ChicagoBulls,02-03,30,52,0.366,48.6,95,36.5,81.9,44.5,4.3,12.2,35,17.7,24.6,72.2,12,31,43,21.7,16.9,7.4,5.6,5,24.7,0.1,-5.1
MemphisGrizzlies,02-03,28,54,0.341,48.6,97.5,37.2,82.2,45.2,5.7,15.6,36.5,17.4,23.6,73.9,11.5,30.1,41.6,23.1,15.4,7.9,6.1,5.2,20.5,0,-3.2
LosAngelesClippers,02-03,27,55,0.329,48.2,93.8,34.6,79.1,43.7,4.8,14.4,33.1,19.9,26.5,75,12.3,30,42.3,19.6,15.7,7,5.6,5.1,21.8,0,-4.1
MiamiHeat,02-03,25,57,0.305,48.4,85.6,32.8,79.5,41.2,4.2,13.4,31.6,15.8,20.6,76.5,11.6,30,41.6,18.3,14.2,7.2,4,5.3,22.6,0.1,-5
TorontoRaptors,02-03,24,58,0.293,48.3,90.9,34.7,81.3,42.7,5,14.5,34.3,16.5,22.9,71.8,12.5,28.7,41.2,19.3,14.4,7.4,4.8,5,21.5,0.1,-5.9
ClevelandCavaliers,02-03,17,65,0.207,48.4,91.4,34.8,82.3,42.2,3.6,10.9,32.7,18.3,24.5,74.7,13.6,31,44.6,20.9,18.3,7.8,6.4,6,22.7,0.1,-9.6
DenverNuggets,02-03,17,65,0.207,48.1,84.2,32.8,79.8,41.1,2.8,10,27.8,15.8,22.6,69.9,13.6,28.8,42.4,21.2,18.5,8.7,5.1,6.6,25.1,0.1,-8.3
SacramentoKings,01-02,61,21,0.744,48.2,104.6,39.8,85.4,46.7,5.2,14.1,36.7,19.7,26.3,75.1,12.4,33,45.3,23.9,13.8,9,4.6,4.7,19,0.1,7.6
LosAngelesLakers,01-02,58,24,0.707,48.2,101.3,38.4,83.4,46.1,6.2,17.5,35.4,18.2,26.1,69.9,12.5,31.8,44.3,23,12.7,7.6,5.8,4.3,22.2,0.1,7.1
SanAntonioSpurs,01-02,58,24,0.707,48.4,96.7,35.5,77.6,45.8,5.3,14.8,36.2,20.3,27.4,74.2,11.1,31.3,42.4,20,14.4,7.6,6.5,5.2,19.2,0.1,6.2
DallasMavericks,01-02,57,25,0.695,48.5,105.2,39,84.5,46.2,7.6,20.1,37.8,19.6,24.3,80.6,11.2,31.3,42.5,22.1,12.1,7.1,4.8,4.6,22.5,0.1,4.3
NewJerseyNets,01-02,52,30,0.634,48.4,96.2,37.1,83.1,44.6,4.9,14.6,33.8,17.1,23.3,73.5,12.7,30.7,43.3,24.3,14.5,8.7,6,5.4,21.1,0.1,4.2
DetroitPistons,01-02,50,32,0.61,48,94.3,34.7,76.8,45.2,6.9,18.4,37.6,18,23.8,75.6,9.9,28.9,38.7,21.5,14.5,7.9,6.9,4.1,20.7,0.1,2.1
MinnesotaTimberwolves,01-02,50,32,0.61,48.3,99.3,38.7,84,46.1,4.8,12.8,37.8,17.1,21.4,79.8,12.9,31.2,44.2,24.3,13.4,6.4,5.2,5,21.2,0.1,3.4
BostonCeltics,01-02,49,33,0.598,48.4,96.4,34.8,82.1,42.4,8.5,23.7,35.9,18.3,23.9,76.4,10.9,31.3,42.2,21,13.6,9.7,3.6,5.8,21.7,0,2.2
PortlandTrailBlazers,01-02,49,33,0.598,48.4,96.6,36.6,81.4,45,5.7,16.1,35.4,17.7,23.2,76.3,13.2,29.8,43,23.5,14.3,8.6,4.5,5,19.7,0.1,3
SeattleSuperSonics,01-02,45,37,0.549,48.4,97.7,38.2,81.5,46.9,6,15.8,37.8,15.4,20.4,75.5,11.8,28.5,40.3,23.5,13.7,8.5,4.4,4.9,21.1,0.1,3
CharlotteHornets,01-02,44,38,0.537,48.2,93.9,35.3,80.2,44,4.2,12.1,34.8,19.1,25.7,74.5,12.9,30.5,43.5,21.5,14,8,5.6,5.1,21.3,0.2,1
OrlandoMagic,01-02,44,38,0.537,48.4,100.5,37.6,84,44.8,7.6,20.2,37.3,17.6,23.4,75.4,11.5,29.7,41.2,22,13.6,8.1,4.7,4.7,20.7,0.1,1.6
UtahJazz,01-02,44,38,0.537,48.4,96,35,77.7,45,3.4,10.3,33.3,22.6,29.6,76.3,13.5,28.6,42.2,24.4,16.5,9.1,6.4,6.7,24,0.1,0.9
Philadelphia76ers,01-02,43,39,0.524,48.1,91,34.2,78.5,43.6,2.6,8.7,29.9,20,25.7,77.9,13.3,30.9,44.2,20,15.3,8.6,4.4,5.6,20.1,0.2,1.6
IndianaPacers,01-02,42,40,0.512,48.5,96.8,35.8,80.2,44.6,4.9,14.6,33.9,20.3,26.3,77.2,11.3,31.3,42.7,23,15.2,8,5.3,5.7,22.9,0.2,0.3
TorontoRaptors,01-02,42,40,0.512,48.2,91.4,35.6,82,43.4,4.7,13.5,34.9,15.5,20.9,73.9,13.6,28.5,42.1,21.7,14.3,8.4,5.6,4.8,21.6,0.1,-0.4
MilwaukeeBucks,01-02,41,41,0.5,48.5,97.5,37.1,80.2,46.2,7.2,19.3,37.5,16.1,21.5,74.8,10.3,31.2,41.4,22.5,14.1,7.3,4.7,4.4,21.8,0.1,-0.2
LosAngelesClippers,01-02,39,43,0.476,48.3,95.7,36.2,81.3,44.5,5,14,35.6,18.3,24.7,73.9,13.2,30.2,43.4,20.9,14.8,6.2,6.6,5.4,19.8,0.1,-0.5
WashingtonWizards,01-02,37,45,0.451,48.1,92.8,35.8,81.3,44.1,3.7,9.6,38.8,17.4,22.8,76.5,12.9,29.2,42,20.9,13,7,4.3,5,21.5,0.1,-1.4
MiamiHeat,01-02,36,46,0.439,48.6,87.2,34.2,77.8,43.9,3.8,11,34.7,15.1,20.8,72.4,11,31,42,20.3,14.8,6.7,5.5,4.3,22.5,0.2,-1.5
PhoenixSuns,01-02,36,46,0.439,48.4,95.1,37.8,84.6,44.7,4.4,13.4,32.7,15.2,19.9,76.7,13.1,29.6,42.7,22.4,14.7,8.1,4.9,5.8,21.8,0.1,-0.7
AtlantaHawks,01-02,33,49,0.402,48.2,94,35.4,80.6,43.9,5.2,14.6,35.4,18.1,23.7,76.5,11.6,29.8,41.5,20.2,15.5,8.1,4.3,6.2,20.8,0.1,-4.2
NewYorkKnicks,01-02,30,52,0.366,48.3,91.6,34.4,79.5,43.2,5.8,16.4,35.3,17.1,21.8,78.7,10.7,30,40.7,21,14.5,6.8,3.5,4.7,22,0.2,-4
ClevelandCavaliers,01-02,29,53,0.354,48.4,95.3,36,80.3,44.8,4.7,12.5,37.7,18.6,24.1,77.2,11.8,30.3,42.1,23.1,14.6,7,5.7,5.6,21.4,0.1,-3.3
HoustonRockets,01-02,28,54,0.341,48.7,92.3,34.6,80.8,42.8,6,18,33.5,17.1,23.1,74.1,12.5,29.4,41.9,18.1,14.1,6.5,5.4,5.1,18,0.1,-4.9
DenverNuggets,01-02,27,55,0.329,48.3,92.2,35.5,83.8,42.4,5.2,15.7,32.9,15.9,21.4,74.4,13.6,28.2,41.8,22.2,14.7,7.5,5.6,6.8,22.8,0.1,-5.8
MemphisGrizzlies,01-02,23,59,0.28,48.2,89.9,34.8,79.7,43.6,4.1,13.4,30.7,16.3,23,70.8,12,29.4,41.4,21.8,16.4,7.9,6,5.6,19.2,0.1,-7.4
ChicagoBulls,01-02,21,61,0.256,48.3,89.5,34.3,79.2,43.3,3.7,10.6,34.6,17.2,23.9,72.2,11.3,28.8,40,22.2,15.3,7.7,4.4,4.9,22.4,0.2,-8.5
GoldenStateWarriors,01-02,21,61,0.256,48.2,97.7,36.6,85.2,42.9,3.9,12.1,32.2,20.6,28.6,72.2,16.3,30.4,46.7,20.8,16.8,7.9,6.4,6.3,23,0.2,-5.4
SanAntonioSpurs,00-01,58,24,0.707,48.4,96.2,35.2,76.4,46.1,5.4,13.3,40.7,20.4,28.5,71.5,11,33.1,44.1,21.7,14,6.9,7,5.2,18.9,0,7.8
LosAngelesLakers,00-01,56,26,0.683,48.5,100.6,37.9,81.5,46.5,5.4,15.5,34.4,19.4,28.5,68.3,13.2,31.5,44.7,23,14.4,6.9,6,4,22.8,0.1,3.4
Philadelphia76ers,00-01,56,26,0.683,48.4,94.7,35.4,79.1,44.7,3.2,9.8,32.6,20.7,27.8,74.5,13.1,31.7,44.8,20.6,15.8,8.4,5,5.6,20.4,0,4.3
SacramentoKings,00-01,55,27,0.671,49,101.7,38.2,85,44.9,5.8,16.5,35.4,19.5,25.3,77.1,12,33,45,22.6,14.9,9.7,5.3,5.8,19.5,0,5.8
DallasMavericks,00-01,53,29,0.646,48.3,100.5,37.6,81.9,45.9,6.3,16.5,38.1,18.9,23.8,79.4,10.1,31.4,41.5,21.2,13.9,7.5,6,4.6,23.3,0.1,4.3
UtahJazz,00-01,53,29,0.646,48.2,97.1,36.1,76.7,47.1,4,10.4,38.1,20.9,27.8,75.2,11.5,29.1,40.6,25.7,15.8,8.1,5.6,5.5,25.7,0.1,4.7
MilwaukeeBucks,00-01,52,30,0.634,48.2,100.7,38,82.9,45.8,6.9,18.1,37.9,18,22.9,78.7,11.9,30.5,42.4,22.5,13.7,8.2,4.7,4.3,23.5,0.1,3.9
PhoenixSuns,00-01,51,31,0.622,48.3,94,35.9,82.4,43.6,4,12.9,31.5,18.2,24.1,75.5,11.8,30.8,42.7,23.2,15.3,9.5,5.2,5.1,22.7,0.1,2.2
MiamiHeat,00-01,50,32,0.61,48.5,88.9,32.9,76.3,43,5.8,16.9,34.5,17.4,22.9,75.9,9.9,29.7,39.6,19.9,13.7,7.7,3.7,5.2,21,0.1,2.3
PortlandTrailBlazers,00-01,50,32,0.61,48.2,95.4,36.6,78.3,46.8,4.5,12.9,34.9,17.6,23.2,76.2,11.7,30.3,42,23.9,15.3,8.2,5.1,4,21.3,0.1,4.2
NewYorkKnicks,00-01,48,34,0.585,48.5,88.7,33.6,75.6,44.4,4.8,13.6,35.1,16.8,21.1,79.6,9.4,30.8,40.2,18.5,14.5,6.6,4.2,4.1,22.7,0.1,2.6
MinnesotaTimberwolves,00-01,47,35,0.573,48.4,97.3,38.4,83.8,45.8,3.9,11,35.7,16.6,21.2,78.5,12.2,30.1,42.3,25.4,13.9,8.3,5.6,4.4,23.2,0.1,1.4
TorontoRaptors,00-01,47,35,0.573,48.7,97.6,37.2,85,43.7,5.2,14.2,36.9,18.1,24.2,74.7,13.6,30.8,44.5,24.4,13.2,7.3,6.3,5.4,21.3,0.1,2.3
CharlotteHornets,00-01,46,36,0.561,48.5,91.9,34.1,79.3,43.1,4.1,12,34.6,19.5,26.2,74.5,12.6,31.8,44.4,23.2,14.4,8.1,5.5,4.6,21.4,0.1,2.1
HoustonRockets,00-01,45,37,0.549,48.4,97.2,35.9,79.2,45.3,6.1,17.2,35.7,19.3,25.4,75.8,11.2,30.8,42,19.7,14.7,7.2,4.4,4.9,20.2,0,2.3
SeattleSuperSonics,00-01,44,38,0.537,48.3,97.3,36.9,81.1,45.6,5.7,14.3,39.9,17.7,24.2,73.2,12.2,29.5,41.7,21.9,15.3,8,5,6.2,21.1,0.1,0
OrlandoMagic,00-01,43,39,0.524,48.7,97.5,36.7,83.8,43.8,6,16.4,36.4,18,25.2,71.4,13,29.9,42.9,22,15.2,8.2,5.9,5.4,25.3,0.1,1
IndianaPacers,00-01,41,41,0.5,48.7,92.6,34.5,78.4,44,4.8,14.1,34.2,18.8,24.5,76.6,11.2,31.6,42.9,21.5,15.2,6.9,5.9,4.7,23.5,0.1,-0.2
DenverNuggets,00-01,40,42,0.488,48.2,96.6,36.3,83.9,43.3,6.2,17.6,35.5,17.7,24,73.7,12.7,31.5,44.2,24,13.9,6.7,6.6,6.1,22.2,0,-2.5
BostonCeltics,00-01,36,46,0.439,48.4,94.6,33.8,79.1,42.8,7.2,19.9,36.3,19.8,26.7,74,10.9,28.9,39.8,20.8,15.7,9.4,4.1,5.4,23.8,0,-2.1
DetroitPistons,00-01,32,50,0.39,48.4,95.6,35.6,83.9,42.4,4.7,13.6,35,19.6,27.2,72.1,13.5,32,45.5,19.9,15.9,7.5,5.5,4.8,23.8,0.1,-1.7
LosAngelesClippers,00-01,31,51,0.378,48.9,92.5,35.3,78.9,44.8,4.4,13,33.9,17.4,25.1,69.3,11.7,31.2,42.9,19.3,15.8,6,6.3,5,21.6,0,-2.9
ClevelandCavaliers,00-01,30,52,0.366,48.4,92.2,35.2,79.7,44.2,2.7,8,33.4,19,24.9,76.5,12.4,29.8,42.1,20.8,16.5,7.8,5.3,6.6,23.2,0.1,-4.2
NewJerseyNets,00-01,26,56,0.317,48.1,92.1,33.9,79.9,42.5,4.4,13.2,33.3,19.9,26.2,75.9,11.1,28.5,39.6,19.5,14.7,7.9,5,6.4,24.2,0,-5
AtlantaHawks,00-01,25,57,0.305,48.1,91,35.1,81.3,43.1,4.1,11.4,35.7,16.8,22.1,75.9,12.5,30.4,42.9,19,16.7,7.7,4.7,6.3,22.7,0.1,-5.2
VancouverGrizzlies,00-01,23,59,0.28,48.2,91.7,35,79.7,43.9,4,11.5,34.3,17.8,23.1,77,10.9,29.6,40.5,23.2,15.7,7.1,4.4,5.8,21.1,0.1,-5.7
WashingtonWizards,00-01,19,63,0.232,48,93.2,34.5,78.7,43.9,3.4,10.3,32.4,20.8,27.4,75.9,12.4,28.9,41.3,20.1,17,7.7,4.7,6.2,23.3,0.1,-6.7
GoldenStateWarriors,00-01,17,65,0.207,48.2,92.5,35.8,87.5,40.9,3.4,11.8,29.3,17.4,24.7,70.6,16.4,29.1,45.5,21.8,15.9,9,5,6,21.1,0.1,-9
ChicagoBulls,00-01,15,67,0.183,48.4,87.6,33.2,78.2,42.4,4,11.6,34.6,17.2,23.3,73.9,11.3,27.6,38.9,22.1,15.8,8.2,4.6,5.2,23.2,0,-9.1
